week,date,positive,death,mobility,gop,Delta_Variant_Rate,elderly_total,elderly_first,elderly_second,others_total,others_first,others_second
1,21937,2,0,,102.1029,,,,,,,
2,21944,1,0,,101.5654142857143,,,,,,,
3,21951,0,0,,100.2217,,,,,,,
4,21958,16,0,-6,100.2217,,,,,,,
5,21965,10,0,-2.5,100.2217,,,,,,,
6,21972,10,1,-7,99.68018285714285,,,,,,,
7,21979,25,0,-15.25,96.43107999999998,,,,,,,
8,21986,26,1,-7.25,96.43107999999998,,,,,,,
9,21993,49,2,-4,96.43107999999998,,,,,,,
10,22000,297,4,-9,96.43107999999998,,,,,,,
11,22007,606,22,-23.25,91.15566571428572,,,,,,,
12,22014,1082,12,-34.75,89.04550000000002,,,,,,,
13,22021,1038,29,-40.25,89.04550000000002,,,,,,,
14,22028,852,29,-43,89.04550000000002,,,,,,,
15,22035,672,45,-42.75,87.30753571428571,,,,,,,
16,22042,301,35,-44,84.99024999999999,,,,,,,
17,22049,110,57,-38.75,84.99024999999999,,,,,,,
18,22056,50,43,-43.25,84.99024999999999,,,,,,,
19,22063,84,25,-33,84.99024999999999,,,,,,,
20,22070,147,6,-27.25,91.86564,,,,,,,
21,22077,161,3,-28.5,91.86564,,,,,,,
22,22084,240,6,-23.5,91.86564,,,,,,,
23,22091,334,5,-22.5,91.86564,,,,,,,
24,22098,652,0,-25.25,92.74776857142858,,,,,,,
25,22105,1162,0,-25,93.10062000000002,,,,,,,
26,22112,1483,1,-27.25,93.10062000000002,,,,,,,
27,22119,1803,2,-26.5,93.10062000000002,,,,,,,
28,22126,2240,4,-24.25,93.45645142857144,,,,,,,
29,22133,2411,1,-23.5,94.34603000000001,,,,,,,
30,22140,1847,7,-34.25,94.34603000000001,,,,,,,
31,22147,1619,10,-27,94.34603000000001,,,,,,,
32,22154,1384,10,-24.25,94.34603000000001,,,,,,,
33,22161,1055,9,-25,95.17615571428573,,,,,,,
34,22168,1230,13,-22.5,95.31451000000001,,,,,,,
35,22175,1205,8,-19.25,95.31451000000001,,,,,,,
36,22182,1045,10,-26.5,95.31451000000001,,,,,,,
37,22189,1225,11,-16.75,96.56083000000001,,,,,,,
38,22196,1226,10,-22.75,97.49557000000001,,,,,,,
39,22203,1255,15,-19,97.49557000000001,,,,,,,
40,22210,1058,11,-17.25,97.49557000000001,,,,,,,
41,22217,1185,8,-17.25,97.55944571428573,,,,,,,
42,22224,1412,6,-18,97.94269999999999,,,,,,,
43,22231,2138,9,-17.75,97.94269999999999,,,,,,,
44,22238,2946,9,-18.5,97.94269999999999,,,,,,,
45,22245,2937,9,-19.75,97.94269999999999,,,,,,,
46,22252,3086,23,-21.5,97.17634571428572,,,,,,,
47,22259,3528,24,-20.5,97.04862000000001,,,,,,,
48,22266,4221,31,-22.25,97.04862000000001,,,,,,,
49,22273,5172,41,-22,97.04862000000001,,,,,,,
50,22280,6122,25,-44.5,96.57936857142859,,,,,,,
51,22287,12681,53,-30.75,95.95370000000001,,,,,,,
52,22294,10787,40,-32,95.95370000000001,,,,,,,
53,22301,8490,57,-35,95.95370000000001,,,,,,,
54,22308,5961,104,-32.75,95.95370000000001,,,,,,,
55,22315,4004,137,-32.25,96.50777000000001,,,,,,,
56,22322,2660,108,-28.25,96.50777000000001,,,,,,,
57,22329,2391,134,-30,96.50777000000001,,,,,,,
58,22336,1942,111,-27.5,96.50777000000001,,,,,,,
59,22343,1779,86,-28,98.22655999999999,,,,,,,
60,22350,1954,118,-26.25,98.22655999999999,,,,,,,
61,22357,2108,56,-23.5,98.22655999999999,,,,,,,
62,22364,2457,89,-17.25,98.22655999999999,,,,,,,
63,22371,2728,51,-17.25,98.82678857142858,,,,,,,
64,22378,3276,27,-22,99.27696000000002,,,,,,,
65,22385,4105,44,-25,99.27696000000002,,1488,1488,0,3708,3708,0
66,22392,5090,29,-21.25,99.27696000000002,,9704,9704,0,29467,29467,0
67,22399,5832,22,-28.75,98.17956857142858,,19863,19863,0,56154,56154,0
68,22406,5589,20,-29.25,95.43609000000001,.0040000002,41084,40448,636,66502,63489,3013
69,22413,5645,33,-27.25,95.43609000000001,.018999999,148438,139697,8741,101674,76742,24932
70,22420,4546,66,-31,95.43609000000001,.058000002,368476,350408,18068,140076,90212,49864
71,22427,3910,37,-23.5,95.43609000000001,.0080000004,739907,705324,34583,167188,108790,58398
72,22434,2985,54,-23,97.68358714285715,.049000002,1235646,1117700,117946,197752,129055,68697
73,22441,2689,48,-23,98.05817,.032000002,1806376,1499201,307175,244465,165455,79010
74,22448,2716,41,-24,98.05817,.083999999,2448397,1841014,607383,332052,240178,91874
75,22455,3342,26,-22.25,98.05817,.147,3106208,2143113,963095,590943,482663,108280
76,22462,4074,16,-27,97.76826142857144,.215,3709511,2346016,1363495,986633,856185,130448
77,22469,5137,17,-24.5,97.55083,.30599999,4271145,2525813,1745332,1655969,1489337,166632
78,22476,7478,13,-24.25,97.55083,.46200001,4694762,2621112,2073650,2392987,2126805,266182
79,22483,10175,8,-23.5,97.55083,.64599997,4945414,2660808,2284606,3102377,2584601,517776
80,22490,21735,16,-27.5,97.32879857142858,.81699997,5176708,2691884,2484824,4135104,3068221,1066883
81,22497,28259,18,-29.5,95.99661000000002,.88999999,5289642,2707448,2582194,5250262,3538578,1711684
82,22504,29847,24,-37.25,95.99661000000002,.91800004,5339926,2715688,2624238,6113946,3928102,2185844
83,22511,33130,44,-31,95.99661000000002,.94199997,5384336,2724985,2659351,7097720,4377778,2719942
84,22518,26488,87,-30.25,95.99661000000002,.93800002,5413350,2734714,2678636,8036912,4809282,3227630
85,22525,17845,79,-31.25,96.03359571428572,.93699998,5431922,2743184,2688738,8831619,5197529,3634090
86,22532,9688,121,-27.75,96.04839000000001,.92900002,5449668,2751325,2698343,9595793,5556341,4039452
87,22539,5707,131,-26,96.04839000000001,,5464990,2758308,2706682,10247145,5833019,4414126
88,22545.5,2240,64,-26.5,96.04839,,5470544,2760653,2709891,10456648,5906874,4549774
